Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
16T,Kyle Lowry,21,MEM,0.0,1.0,620,0.002,82,25.5,9.6,3.0,3.6,1.1,0.3,.432,.257,.698,3.4,.078,1.3,0.3,111,lowryky01
16T,Rajon Rondo,21,BOS,0.0,1.0,620,0.002,77,29.9,10.6,4.2,5.1,1.7,0.2,.492,.263,.611,7.2,.150,4.9,2.6,98,rondora01
16T,Metta World Peace,28,SAC,0.0,1.0,620,0.002,57,38.1,20.5,5.8,3.5,2.3,0.7,.453,.380,.719,4.7,.103,2.2,0.7,108,artesro01
1,Marcus Camby,32,DEN,70.0,431.0,650,0.663,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155,5.1,3.9,97,cambyma01
2,Bruce Bowen,35,SAS,22.0,206.0,650,0.317,82,30.0,6.2,2.7,1.4,0.8,0.3,.405,.384,.589,4.1,.079,3.6,1.4,103,bowenbr01
3,Tim Duncan,30,SAS,15.0,158.0,650,0.243,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230,6.8,3.2,94,duncati01
4,Shawn Marion,28,PHO,7.0,93.0,650,0.143,80,37.6,17.5,9.8,1.7,2.0,1.5,.524,.317,.810,12.0,.191,5.3,1.9,100,mariosh01
5,Shane Battier,28,HOU,7.0,86.0,650,0.132,82,36.4,10.1,4.1,2.1,1.0,0.7,.446,.421,.779,9.0,.144,4.6,2.0,102,battish01
6,Ben Wallace,32,CHI,1.0,42.0,650,0.065,77,35.0,6.4,10.7,2.4,1.4,2.0,.453,.200,.408,8.2,.146,6.6,3.3,95,wallabe01
7,Gerald Wallace,24,CHA,3.0,27.0,650,0.042,72,36.7,18.1,7.2,2.6,2.0,1.0,.502,.325,.691,7.7,.141,3.5,1.5,104,wallage01
8,Metta World Peace,27,SAC,1.0,20.0,650,0.031,70,37.7,18.8,6.5,3.4,2.1,0.6,.440,.358,.740,6.7,.122,3.1,0.9,105,artesro01
9,Tyson Chandler,24,NOK,0.0,15.0,650,0.023,73,34.6,9.5,12.4,0.9,0.5,1.8,.624,.000,.527,7.9,.150,3.8,0.7,103,chandty01
10,Jermaine O'Neal,28,IND,1.0,11.0,650,0.017,69,35.6,19.4,9.6,2.4,0.7,2.6,.436,.000,.767,4.7,.091,4.1,1.2,101,onealje01
11T,Emeka Okafor,24,CHA,0.0,10.0,650,0.015,67,34.8,14.4,11.3,1.2,0.9,2.6,.532,,.593,7.1,.147,3.6,0.9,102,okafoem01
11T,Tayshaun Prince,26,DET,0.0,10.0,650,0.015,82,36.6,14.3,5.2,2.8,0.6,0.7,.460,.386,.768,8.0,.128,2.9,-0.4,107,princta01
13T,Kevin Garnett,30,MIN,0.0,7.0,650,0.011,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,.214,.835,10.7,.171,4.9,1.7,101,garneke01
13T,Kirk Hinrich,26,CHI,0.0,7.0,650,0.011,80,35.5,16.6,3.4,6.3,1.3,0.3,.448,.415,.835,10.1,.171,4.6,1.1,102,hinriki01
13T,Andrei Kirilenko,25,UTA,0.0,7.0,650,0.011,70,29.3,8.3,4.7,2.9,1.1,2.1,.471,.213,.728,4.4,.104,2.9,3.1,103,kirilan01
16T,Dwight Howard,21,ORL,1.0,6.0,650,0.009,82,36.9,17.6,12.3,1.9,0.9,1.9,.603,.500,.586,9.7,.154,5.8,1.1,99,howardw01
16T,Quinton Ross,25,LAC,1.0,6.0,650,0.009,81,21.0,5.2,2.3,1.1,0.9,0.4,.467,.200,.782,3.2,.090,1.8,1.4,106,rossqu01
18T,Udonis Haslem,26,MIA,1.0,5.0,650,0.008,79,31.4,10.7,8.3,1.2,0.6,0.3,.492,.000,.680,5.1,.099,3.1,-0.8,105,hasleud01
18T,Josh Howard,26,DAL,0.0,5.0,650,0.008,70,35.1,18.9,6.8,1.8,1.2,0.8,.459,.385,.827,8.8,.173,3.8,0.4,102,howarjo01
20,Luol Deng,21,CHI,0.0,4.0,650,0.006,82,37.5,18.8,7.1,2.5,1.2,0.6,.517,.143,.777,11.3,.176,5.6,1.3,100,denglu01
21T,Caron Butler,26,WAS,0.0,3.0,650,0.005,63,39.3,19.1,7.4,3.7,2.1,0.3,.463,.250,.863,5.3,.103,1.9,-0.2,109,butleca01
21T,Josh Smith,21,ATL,0.0,3.0,650,0.005,72,36.8,16.4,8.6,3.3,1.4,2.9,.439,.250,.693,4.4,.079,4.0,1.7,102,smithjo03
23,Raja Bell,30,PHO,0.0,2.0,650,0.003,78,37.4,14.7,3.2,2.5,0.6,0.3,.432,.413,.776,5.8,.095,1.6,-0.6,110,bellra01
24T,Kobe Bryant,28,LAL,0.0,1.0,650,0.002,77,40.8,31.6,5.7,5.4,1.4,0.5,.463,.344,.868,13.0,.199,2.2,-0.5,109,bryanko01
24T,Devin Harris,23,DAL,0.0,1.0,650,0.002,80,26.0,10.2,2.5,3.7,1.2,0.3,.492,.280,.824,6.5,.151,2.9,1.6,104,harride01
24T,Andre Iguodala,23,PHI,0.0,1.0,650,0.002,76,40.3,18.2,5.7,5.7,2.0,0.4,.447,.310,.820,7.7,.120,3.6,1.1,105,iguodan01
24T,Yao Ming,26,HOU,0.0,1.0,650,0.002,48,33.8,25.0,9.4,2.0,0.4,2.0,.516,.000,.862,7.4,.220,3.4,1.9,98,mingya01
24T,Alonzo Mourning,36,MIA,0.0,1.0,650,0.002,77,20.4,8.6,4.5,0.2,0.2,2.3,.560,,.601,3.5,.107,2.5,1.2,102,mournal01
24T,Anthony Parker,31,TOR,0.0,1.0,650,0.002,73,33.4,12.4,3.9,2.1,1.0,0.2,.477,.441,.835,6.5,.127,2.1,0.4,108,parkean01
1,Ben Wallace,31,DET,58.0,420.0,620,0.677,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,6.9,3.1,95,wallabe01
2,Bruce Bowen,34,SAS,38.0,308.0,620,0.497,82,33.6,7.5,3.9,1.5,1.0,0.4,.433,.424,.607,6.2,.108,4.5,2.0,101,bowenbr01
3,Andrei Kirilenko,24,UTA,12.0,121.0,620,0.195,69,37.7,15.3,8.0,4.3,1.5,3.2,.460,.308,.699,7.9,.145,4.3,3.1,101,kirilan01
4,Metta World Peace,26,TOT,6.0,65.0,620,0.105,56,39.4,17.6,5.1,3.6,2.2,0.7,.404,.308,.675,3.7,.081,3.2,1.3,103,artesro01
5,Marcus Camby,31,DEN,3.0,55.0,620,0.089,56,33.2,12.8,11.9,2.1,1.4,3.3,.465,.091,.712,5.5,.141,4.5,3.3,95,cambyma01
6,Tim Duncan,29,SAS,3.0,42.0,620,0.068,80,34.8,18.6,11.0,3.2,0.9,2.0,.484,.400,.629,10.8,.187,6.9,2.6,94,duncati01
7,Shawn Marion,27,PHO,0.0,33.0,620,0.053,81,40.3,21.8,11.8,1.8,2.0,1.7,.525,.331,.809,14.6,.214,5.9,1.3,100,mariosh01
8,Alonzo Mourning,35,MIA,4.0,29.0,620,0.047,65,20.0,7.8,5.5,0.2,0.2,2.7,.597,.000,.594,4.8,.176,2.6,2.5,98,mournal01
9,Gerald Wallace,23,CHA,0.0,27.0,620,0.044,55,34.5,15.2,7.5,1.7,2.5,2.1,.538,.280,.614,6.4,.163,3.4,2.9,100,wallage01
10T,Shane Battier,27,MEM,0.0,3.0,620,0.005,81,35.0,10.1,5.3,1.7,1.1,1.4,.488,.394,.707,9.1,.153,4.5,1.8,102,battish01
10T,Elton Brand,26,LAC,0.0,3.0,620,0.005,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229,5.5,1.6,100,brandel01
12,Andre Iguodala,22,PHI,0.0,2.0,620,0.003,82,37.6,12.3,5.9,3.1,1.6,0.3,.500,.354,.754,7.5,.116,2.6,0.4,108,iguodan01
13T,Raja Bell,29,PHO,0.0,1.0,620,0.002,79,37.5,14.7,3.2,2.6,1.0,0.3,.457,.442,.788,6.8,.110,2.1,0.1,109,bellra01
13T,P.J. Brown,36,NOK,0.0,1.0,620,0.002,75,31.7,9.0,7.3,1.2,0.6,0.7,.461,,.827,4.4,.088,2.3,-0.2,107,brownpj01
13T,Kevin Garnett,29,MIN,0.0,1.0,620,0.002,76,38.9,21.8,12.7,4.1,1.4,1.4,.526,.267,.810,14.9,.242,5.9,2.2,98,garneke01
13T,Eddie Jones,34,MEM,0.0,1.0,620,0.002,75,32.5,11.8,3.7,2.4,1.7,0.4,.404,.356,.781,7.2,.141,4.2,2.3,100,jonesed02
13T,Andrés Nocioni,26,CHI,0.0,1.0,620,0.002,82,27.3,13.0,6.1,1.4,0.5,0.6,.461,.391,.843,6.7,.144,3.4,0.9,102,nocioan01
13T,James Posey,29,MIA,0.0,1.0,620,0.002,67,28.6,7.2,4.8,1.3,0.8,0.3,.403,.403,.787,4.2,.104,2.4,1.0,105,poseyja01
13T,Tayshaun Prince,25,DET,0.0,1.0,620,0.002,82,35.3,14.1,4.2,2.3,0.8,0.5,.455,.350,.765,7.0,.115,3.0,-0.2,106,princta01
13T,Rasheed Wallace,31,DET,0.0,1.0,620,0.002,80,34.8,15.1,6.8,2.3,1.0,1.6,.430,.357,.743,8.9,.154,4.9,1.9,100,wallara01
1,Ben Wallace,30,DET,45.0,339.0,625,0.542,74,36.1,9.7,12.2,1.7,1.4,2.4,.453,.111,.428,8.5,.153,6.7,2.6,94,wallabe01
2,Bruce Bowen,33,SAS,33.0,247.0,625,0.395,82,32.0,8.2,3.5,1.5,0.7,0.5,.420,.403,.634,6.1,.111,4.0,1.2,102,bowenbr01
3,Marcus Camby,30,DEN,19.0,168.0,625,0.269,66,30.5,10.3,10.0,2.3,0.9,3.0,.465,.000,.723,5.8,.138,4.5,3.3,96,cambyma01
4,Tim Duncan,28,SAS,6.0,81.0,625,0.130,66,33.4,20.3,11.1,2.7,0.7,2.6,.496,.333,.670,11.2,.245,5.7,2.8,93,duncati01
5,Shawn Marion,26,PHO,5.0,57.0,625,0.091,81,38.8,19.4,11.3,1.9,2.0,1.5,.476,.334,.833,12.5,.191,5.2,1.3,101,mariosh01
6,Larry Hughes,26,WAS,3.0,53.0,625,0.085,61,38.7,22.0,6.3,4.7,2.9,0.3,.430,.282,.777,7.7,.157,3.1,1.9,104,hughela01
7,Tayshaun Prince,24,DET,6.0,46.0,625,0.074,82,37.1,14.7,5.3,3.0,0.7,0.9,.487,.341,.807,9.4,.149,4.0,0.7,104,princta01
8,Shaquille O'Neal,32,MIA,3.0,32.0,625,0.051,73,34.1,22.9,10.4,2.7,0.5,2.3,.601,,.461,11.0,.211,4.6,1.2,100,onealsh01
9,Kevin Garnett,28,MIN,4.0,30.0,625,0.048,82,38.1,22.2,13.5,5.7,1.5,1.4,.502,.240,.811,16.1,.248,6.0,3.0,99,garneke01
10,Andrei Kirilenko,23,UTA,1.0,25.0,625,0.040,41,32.9,15.6,6.2,3.2,1.6,3.3,.493,.299,.784,5.5,.197,2.0,3.7,102,kirilan01
11,Allen Iverson,29,PHI,0.0,10.0,625,0.016,75,42.3,30.7,4.0,7.9,2.4,0.1,.424,.308,.835,9.0,.136,3.7,0.0,105,iversal01
12T,Kirk Hinrich,24,CHI,0.0,6.0,625,0.010,77,36.4,15.7,3.9,6.4,1.6,0.3,.397,.355,.792,7.2,.124,4.7,1.6,101,hinriki01
12T,Joel Przybilla,25,POR,0.0,6.0,625,0.010,76,24.4,6.4,7.7,1.0,0.3,2.1,.598,,.517,4.7,.121,2.7,1.4,103,przybjo01
14T,Trenton Hassell,25,MIN,0.0,4.0,625,0.006,82,25.2,6.6,2.7,1.6,0.4,0.4,.474,.091,.789,2.7,.063,1.0,-0.4,111,hassetr01
14T,Andre Iguodala,21,PHI,0.0,4.0,625,0.006,82,32.8,9.0,5.7,3.0,1.7,0.6,.493,.331,.743,6.6,.118,4.0,2.1,102,iguodan01
16T,Rasheed Wallace,30,DET,0.0,3.0,625,0.005,79,34.0,14.5,8.2,1.8,0.8,1.5,.440,.318,.697,7.1,.127,5.1,1.2,99,wallara01
16T,David Wesley,34,TOT,0.0,3.0,625,0.005,80,34.7,11.9,2.9,3.3,1.2,0.1,.398,.375,.857,5.2,.089,2.8,0.6,106,wesleda01
18T,Tyson Chandler,22,CHI,0.0,2.0,625,0.003,80,27.4,8.0,9.7,0.8,0.9,1.8,.494,.000,.673,8.3,.183,5.5,2.7,94,chandty01
18T,Manu Ginóbili,27,SAS,0.0,2.0,625,0.003,74,29.6,16.0,4.4,3.9,1.6,0.4,.471,.376,.803,11.0,.240,4.6,2.8,98,ginobma01
18T,Josh Howard,24,DAL,0.0,2.0,625,0.003,76,32.2,12.6,6.4,1.4,1.5,0.6,.475,.296,.733,6.4,.126,3.4,0.8,103,howarjo01
21T,Shane Battier,26,MEM,0.0,1.0,625,0.002,80,31.5,9.9,5.2,1.6,1.1,1.0,.442,.395,.789,7.8,.149,3.4,1.3,103,battish01
21T,Dwight Howard,19,ORL,0.0,1.0,625,0.002,82,32.6,12.0,10.0,0.9,0.9,1.7,.520,.000,.671,7.3,.131,3.5,-0.1,104,howardw01
21T,Andrés Nocioni,25,CHI,0.0,1.0,625,0.002,81,23.4,8.4,4.8,1.5,0.5,0.4,.401,.258,.766,2.5,.062,3.3,1.1,100,nocioan01
21T,Emeka Okafor,22,CHA,0.0,1.0,625,0.002,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074,3.1,-1.3,105,okafoem01
21T,Dwyane Wade,23,MIA,0.0,1.0,625,0.002,77,38.6,24.1,5.2,6.8,1.6,1.1,.478,.289,.762,11.0,.177,4.3,0.7,103,wadedw01
1,Metta World Peace,24,IND,80.0,476.0,605,0.787,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,5.2,1.9,96,artesro01
2,Ben Wallace,29,DET,26.0,325.0,605,0.537,81,37.7,9.5,12.4,1.7,1.8,3.0,.421,.125,.490,10.2,.160,9.1,3.3,87,wallabe01
3,Theo Ratliff,30,TOT,8.0,90.0,605,0.149,85,31.3,7.9,7.2,0.8,0.6,3.6,.485,,.645,5.2,.094,3.4,2.3,101,ratlith01
4,Bruce Bowen,32,SAS,4.0,76.0,605,0.126,82,32.0,6.9,3.1,1.4,1.0,0.4,.420,.363,.579,5.4,.098,4.6,2.2,97,bowenbr01
5,Andrei Kirilenko,22,UTA,2.0,67.0,605,0.111,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192,5.0,2.9,97,kirilan01
6,Kevin Garnett,27,MIN,0.0,36.0,605,0.060,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272,8.0,3.3,92,garneke01
7,Tim Duncan,27,SAS,0.0,8.0,605,0.013,69,36.6,22.3,12.4,3.1,0.9,2.7,.501,.167,.599,13.1,.249,7.2,3.3,89,duncati01
8,Clifford Robinson,37,GSW,1.0,5.0,605,0.008,82,34.7,11.8,3.9,3.3,0.8,0.9,.387,.357,.711,2.0,.033,2.1,0.0,105,robincl02
9,Kenyon Martin,26,NJN,0.0,2.0,605,0.003,65,34.6,16.7,9.5,2.5,1.5,1.3,.488,.280,.684,6.7,.142,5.1,1.8,93,martike01
10T,Kobe Bryant,25,LAL,0.0,1.0,605,0.002,65,37.6,24.0,5.5,5.1,1.7,0.4,.438,.327,.852,10.7,.210,3.0,0.5,102,bryanko01
10T,Shaquille O'Neal,31,LAL,0.0,1.0,605,0.002,67,36.8,21.5,11.5,2.9,0.5,2.5,.584,,.490,9.9,.192,4.0,1.0,98,onealsh01
10T,James Posey,27,MEM,0.0,1.0,605,0.002,82,29.9,13.7,4.9,1.5,1.7,0.5,.478,.386,.830,10.0,.195,3.2,1.4,101,poseyja01
10T,Earl Watson,24,MEM,0.0,1.0,605,0.002,81,20.6,5.7,2.2,5.0,1.1,0.2,.371,.245,.652,1.8,.052,1.7,0.3,103,watsoea01
1,Ben Wallace,28,DET,100.0,531.0,585,0.908,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176,7.9,3.5,90,wallabe01
2,Metta World Peace,23,IND,2.0,122.0,585,0.209,69,33.6,15.5,5.2,2.9,2.3,0.7,.428,.336,.736,7.2,.150,4.1,2.3,98,artesro01
3,Kevin Garnett,26,MIN,8.0,121.0,585,0.207,82,40.5,23.0,13.4,6.0,1.4,1.6,.502,.282,.751,15.6,.225,5.8,2.4,98,garneke01
4,Tim Duncan,26,SAS,2.0,90.0,585,0.154,81,39.3,23.3,12.9,3.9,0.7,2.9,.513,.273,.710,16.5,.248,6.9,2.5,94,duncati01
5,Doug Christie,32,SAC,5.0,85.0,585,0.145,80,33.9,9.4,4.3,4.7,2.3,0.5,.479,.395,.810,8.9,.157,4.7,3.2,98,chrisdo01
6,Allen Iverson,27,PHI,0.0,29.0,585,0.050,82,42.5,27.6,4.2,5.5,2.7,0.2,.414,.277,.774,9.2,.127,4.2,0.2,102,iversal01
7,Bruce Bowen,31,SAS,0.0,20.0,585,0.034,82,31.3,7.1,2.9,1.4,0.8,0.5,.466,.441,.404,5.1,.096,2.7,1.0,103,bowenbr01
8,Kobe Bryant,24,LAL,0.0,16.0,585,0.027,82,41.5,30.0,6.9,5.9,2.2,0.8,.451,.383,.843,14.9,.210,4.0,0.7,103,bryanko01
9,Theo Ratliff,29,ATL,0.0,15.0,585,0.026,81,31.1,8.7,7.5,0.9,0.7,3.2,.464,,.720,4.0,.077,3.4,1.8,101,ratlith01
10,Eric Snow,29,PHI,0.0,6.0,585,0.010,82,37.9,12.9,3.7,6.6,1.6,0.1,.452,.219,.858,8.4,.130,2.7,0.3,105,snower01
11,Gary Payton,34,TOT,0.0,5.0,585,0.009,80,40.1,20.4,4.2,8.3,1.7,0.3,.454,.297,.710,9.1,.136,2.1,-0.6,107,paytoga01
12,Kenyon Martin,25,NJN,0.0,4.0,585,0.007,77,34.1,16.7,8.3,2.4,1.3,0.9,.470,.209,.653,7.1,.129,5.3,1.2,96,martike01
13T,Adonal Foyle,27,GSW,0.0,3.0,585,0.005,82,21.8,5.4,6.0,0.5,0.5,2.5,.536,.000,.673,4.0,.106,1.7,1.7,104,foylead01
13T,Shawn Marion,24,PHO,0.0,3.0,585,0.005,81,41.6,21.2,9.5,2.4,2.3,1.2,.452,.387,.851,13.0,.186,5.8,1.7,98,mariosh01
13T,Shaquille O'Neal,30,LAL,0.0,3.0,585,0.005,67,37.8,27.5,11.1,3.1,0.6,2.4,.574,,.622,13.2,.250,3.0,0.1,102,onealsh01
1,Ben Wallace,27,DET,116.0,116.0,120,0.967,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190,7.2,3.3,93,wallabe01
2,Kevin Garnett,25,MIN,2.0,2.0,120,0.017,81,39.2,21.2,12.1,5.2,1.2,1.6,.470,.319,.801,12.8,.194,4.9,1.8,101,garneke01
3T,Kobe Bryant,23,LAL,1.0,1.0,120,0.008,80,38.3,25.2,5.5,5.5,1.5,0.4,.469,.250,.829,12.7,.199,3.8,0.3,103,bryanko01
3T,Dikembe Mutombo,35,PHI,1.0,1.0,120,0.008,80,36.3,11.5,10.8,1.0,0.4,2.4,.501,,.764,9.6,.158,5.5,1.2,98,mutomdi01
1,Dikembe Mutombo,34,TOT,48.0,48.0,123,0.390,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151,4.7,1.3,97,mutomdi01
2,Kevin Garnett,24,MIN,26.0,26.0,123,0.211,81,39.5,22.0,11.4,5.0,1.4,1.8,.477,.288,.764,11.8,.176,4.8,1.4,99,garneke01
3,Tim Duncan,24,SAS,14.0,14.0,123,0.114,82,38.7,22.2,12.2,3.0,0.9,2.3,.499,.259,.618,13.2,.200,7.1,1.8,94,duncati01
4,Doug Christie,30,SAC,9.0,9.0,123,0.073,81,36.3,12.3,4.4,3.6,2.3,0.6,.395,.376,.897,8.7,.141,4.4,2.3,99,chrisdo01
5T,David Robinson,35,SAS,6.0,6.0,123,0.049,80,29.6,14.4,8.6,1.5,1.0,2.5,.486,.000,.747,12.1,.246,5.7,2.7,92,robinda01
5T,Ben Wallace,26,DET,6.0,6.0,123,0.049,80,34.5,6.4,13.2,1.5,1.3,2.3,.490,.250,.336,7.0,.121,6.0,2.5,94,wallabe01
7,Theo Ratliff,27,PHI,4.0,4.0,123,0.033,50,36.0,12.4,8.3,1.2,0.6,3.7,.499,,.760,5.2,.138,3.5,2.7,96,ratlith01
8T,Bruce Bowen,29,MIA,2.0,2.0,123,0.016,82,32.7,7.6,3.0,1.6,1.0,0.6,.363,.336,.609,4.2,.075,3.7,1.5,100,bowenbr01
8T,Anthony Mason,34,MIA,2.0,2.0,123,0.016,80,40.7,16.1,9.6,3.1,1.0,0.3,.482,,.781,11.6,.171,5.6,1.1,98,masonan01
8T,Shaquille O'Neal,28,LAL,2.0,2.0,123,0.016,74,39.5,28.7,12.7,3.7,0.6,2.8,.572,.000,.513,14.9,.245,3.9,0.7,101,onealsh01
11T,Kobe Bryant,22,LAL,1.0,1.0,123,0.008,68,40.9,28.5,5.9,5.0,1.7,0.6,.464,.305,.853,11.3,.196,2.2,-0.3,105,bryanko01
11T,Allen Iverson,25,PHI,1.0,1.0,123,0.008,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190,4.5,1.1,99,iversal01
11T,Jason Kidd,27,PHO,1.0,1.0,123,0.008,77,39.8,16.9,6.4,9.8,2.2,0.3,.411,.297,.814,9.6,.150,5.4,1.7,97,kiddja01
11T,Shawn Marion,22,PHO,1.0,1.0,123,0.008,79,36.2,17.3,10.7,2.0,1.7,1.4,.480,.256,.810,11.7,.196,6.4,1.8,93,mariosh01
1,Alonzo Mourning,29,MIA,62.0,62.0,121,0.512,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226,5.6,2.2,96,mournal01
2,Shaquille O'Neal,27,LAL,21.0,21.0,121,0.174,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,.283,7.0,2.0,95,onealsh01
3T,Eddie Jones,28,CHH,11.0,11.0,121,0.091,72,39.0,20.1,4.8,4.2,2.7,0.7,.427,.375,.864,10.1,.172,4.4,2.0,100,jonesed02
3T,Dikembe Mutombo,33,ATL,11.0,11.0,121,0.091,82,36.4,11.5,14.1,1.3,0.3,3.3,.562,,.708,9.9,.160,4.3,1.5,101,mutomdi01
5T,Kobe Bryant,21,LAL,4.0,4.0,121,0.033,66,38.2,22.5,6.3,4.9,1.6,0.9,.468,.319,.821,10.6,.202,4.5,1.6,98,bryanko01
5T,Gary Payton,31,SEA,4.0,4.0,121,0.033,82,41.8,24.2,6.5,8.9,1.9,0.2,.448,.340,.735,13.9,.195,3.5,0.7,104,paytoga01
7,Kevin Garnett,23,MIN,2.0,2.0,121,0.017,81,40.0,22.9,11.8,5.0,1.5,1.6,.497,.370,.765,11.6,.172,5.6,1.7,99,garneke01
8T,Kendall Gill,31,NJN,1.0,1.0,121,0.008,76,31.0,13.1,3.7,2.8,1.8,0.5,.414,.256,.710,3.7,.076,2.1,0.7,105,gillke01
8T,Jason Kidd,26,PHO,1.0,1.0,121,0.008,67,39.0,14.3,7.2,10.1,2.0,0.4,.409,.337,.829,8.5,.156,4.8,2.0,98,kiddja01
8T,Anthony Mason,33,CHH,1.0,1.0,121,0.008,82,38.2,11.6,8.5,4.5,0.9,0.4,.480,.000,.746,8.9,.136,3.9,0.7,102,masonan01
8T,Bo Outlaw,28,ORL,1.0,1.0,121,0.008,82,28.4,6.0,6.4,3.0,1.4,1.8,.602,.000,.506,6.8,.140,4.0,3.6,99,outlabo01
8T,Scottie Pippen,34,POR,1.0,1.0,121,0.008,82,33.5,12.5,6.3,5.0,1.4,0.5,.451,.327,.717,7.8,.137,4.4,1.7,99,pippesc01
8T,Clifford Robinson,33,PHO,1.0,1.0,121,0.008,80,35.5,18.5,4.5,2.8,1.1,0.8,.464,.370,.782,9.6,.162,3.9,0.4,101,robincl02
1,Alonzo Mourning,28,MIA,89.0,89.0,118,0.754,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216,3.9,2.2,93,mournal01
2,Dikembe Mutombo,32,ATL,10.0,10.0,118,0.085,50,36.6,10.8,12.2,1.1,0.3,2.9,.512,,.684,7.9,.206,4.2,2.5,92,mutomdi01
3,Gary Payton,30,SEA,6.0,6.0,118,0.051,50,40.2,21.7,4.9,8.7,2.2,0.2,.434,.295,.721,7.2,.172,1.2,0.0,106,paytoga01
4,David Robinson,33,SAS,3.0,3.0,118,0.025,49,31.7,15.8,10.0,2.1,1.4,2.4,.509,.000,.658,8.4,.261,4.4,3.5,88,robinda01
5T,Tim Duncan,22,SAS,2.0,2.0,118,0.017,50,39.3,21.7,11.4,2.4,0.9,2.5,.495,.143,.690,8.7,.213,4.7,1.8,91,duncati01
5T,Theo Ratliff,25,PHI,2.0,2.0,118,0.017,50,32.5,11.2,8.1,0.6,0.9,3.0,.470,,.725,5.4,.159,3.3,2.0,94,ratlith01
7T,Michael Curry,30,MIL,1.0,1.0,118,0.008,50,22.9,4.9,2.2,1.6,0.8,0.1,.437,.067,.797,1.7,.070,0.8,0.7,105,currymi01
7T,Kevin Garnett,22,MIN,1.0,1.0,118,0.008,47,37.9,20.8,10.4,4.3,1.7,1.8,.460,.286,.704,5.4,.146,3.0,1.7,97,garneke01
7T,Eddie Jones,27,TOT,1.0,1.0,118,0.008,50,37.6,15.6,3.9,3.7,2.5,1.2,.437,.338,.782,6.0,.153,2.2,2.1,101,jonesed02
7T,Hakeem Olajuwon,36,HOU,1.0,1.0,118,0.008,50,35.7,18.9,9.6,1.8,1.6,2.5,.514,.308,.717,6.5,.175,3.3,1.8,96,olajuha01
7T,Scottie Pippen,33,HOU,1.0,1.0,118,0.008,50,40.2,14.5,6.5,5.9,2.0,0.7,.432,.340,.721,4.9,.116,2.3,1.1,101,pippesc01
7T,Clifford Robinson,32,PHO,1.0,1.0,118,0.008,50,34.8,16.4,4.5,2.6,1.5,1.2,.475,.417,.697,5.3,.146,1.7,0.6,103,robincl02
1,Dikembe Mutombo,31,ATL,39.0,39.0,116,0.336,82,35.6,13.4,11.4,1.0,0.4,3.4,.537,,.670,10.8,.177,5.2,1.4,99,mutomdi01
2,Gary Payton,29,SEA,37.0,37.0,116,0.319,82,38.4,19.2,4.6,8.3,2.3,0.2,.453,.338,.744,12.5,.190,4.0,0.7,103,paytoga01
3,David Robinson,32,SAS,10.0,10.0,116,0.086,73,33.7,21.6,10.6,2.7,0.9,2.6,.511,.250,.735,13.8,.269,6.0,2.9,94,robinda01
4,Michael Jordan,34,CHI,6.0,6.0,116,0.052,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,.238,5.4,1.0,100,jordami01
5T,Mookie Blaylock,30,ATL,4.0,4.0,116,0.034,70,38.6,13.2,4.9,6.7,2.6,0.3,.392,.269,.709,5.6,.099,3.7,1.5,102,blaylmo01
5T,Tim Duncan,21,SAS,4.0,4.0,116,0.034,82,39.1,21.1,11.9,2.7,0.7,2.5,.549,.000,.662,12.8,.192,7.2,2.0,95,duncati01
5T,Bo Outlaw,26,ORL,4.0,4.0,116,0.034,82,36.0,9.5,7.8,2.6,1.3,2.2,.554,.250,.575,7.6,.124,4.5,2.7,101,outlabo01
5T,Dennis Rodman,36,CHI,4.0,4.0,116,0.034,80,35.7,4.7,15.0,2.9,0.6,0.2,.431,.174,.550,7.8,.131,5.9,0.4,97,rodmade01
9T,Anthony Mason,31,CHH,2.0,2.0,116,0.017,81,38.9,12.8,10.2,4.2,0.8,0.2,.509,.000,.649,9.3,.141,3.5,0.6,104,masonan01
