Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
13,Tyson Chandler,30,NYK,0.0,11.0,605,0.018,66,32.8,10.4,10.7,0.9,0.6,1.1,.638,,.694,9.3,.207,2.6,-0.3,104,chandty01
14,Dwight Howard,27,LAL,1.0,9.0,605,0.015,76,35.8,17.1,12.4,1.4,1.1,2.4,.578,.167,.492,7.6,.134,4.8,1.1,100,howardw01
15,Luol Deng,27,CHI,1.0,6.0,605,0.010,75,38.7,16.5,6.3,3.0,1.1,0.4,.426,.322,.816,6.3,.105,3.3,-0.3,105,denglu01
16,Dwyane Wade,31,MIA,0.0,4.0,605,0.007,69,34.7,21.2,5.0,5.1,1.9,0.8,.521,.258,.725,9.6,.192,3.5,0.7,103,wadedw01
17T,Trevor Ariza,27,WAS,0.0,3.0,605,0.005,56,26.3,9.5,4.8,2.0,1.3,0.4,.417,.364,.821,3.1,.102,2.4,2.0,101,arizatr01
17T,Jimmy Butler,23,CHI,0.0,3.0,605,0.005,82,26.0,8.6,4.0,1.4,1.0,0.4,.467,.381,.803,7.0,.158,2.6,1.0,104,butleji01
17T,Kenneth Faried,23,DEN,0.0,3.0,605,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,.552,,.613,7.8,.167,3.4,0.2,102,farieke01
17T,Russell Westbrook,24,OKC,0.0,3.0,605,0.005,82,34.9,23.2,5.2,7.4,1.8,0.3,.438,.323,.800,11.6,.195,3.9,-0.2,103,westbru01
21,Mike Conley,25,MEM,0.0,1.0,605,0.002,80,34.5,14.6,2.8,6.1,2.2,0.3,.440,.362,.830,9.9,.172,4.7,2.3,100,conlemi01
1,Tyson Chandler,29,NYK,45.0,311.0,605,0.514,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,.000,.689,9.5,.220,3.6,1.1,99,chandty01
2,Serge Ibaka,22,OKC,41.0,294.0,605,0.486,66,27.2,9.1,7.5,0.4,0.5,3.7,.535,.333,.661,6.2,.167,3.2,2.3,98,ibakase01
3,Dwight Howard,26,ORL,18.0,186.0,605,0.307,54,38.3,20.6,14.5,1.9,1.5,2.1,.573,.000,.491,7.7,.179,4.4,2.0,96,howardw01
4,LeBron James,27,MIA,7.0,112.0,605,0.185,62,37.5,27.1,7.9,6.2,1.9,0.8,.531,.362,.771,14.5,.298,4.5,2.7,97,jamesle01
5,Kevin Garnett,35,BOS,2.0,44.0,605,0.073,60,31.1,15.8,8.2,2.9,0.9,1.0,.503,.333,.857,6.9,.178,4.3,2.5,94,garneke01
6,Tony Allen,30,MEM,4.0,36.0,605,0.060,58,26.3,9.8,4.0,1.4,1.8,0.6,.469,.308,.800,4.2,.131,2.5,2.3,100,allento01
7,Andre Iguodala,28,PHI,1.0,33.0,605,0.055,62,35.6,12.4,6.1,5.5,1.7,0.5,.454,.394,.617,7.3,.158,4.2,2.5,98,iguodan01
8,Shawn Marion,33,DAL,2.0,17.0,605,0.028,63,30.5,10.6,7.4,2.1,1.1,0.6,.446,.294,.796,3.7,.092,2.7,0.6,102,mariosh01
9,Luol Deng,26,CHI,1.0,16.0,605,0.026,54,39.4,15.3,6.5,2.9,1.0,0.7,.412,.367,.770,5.8,.132,3.6,1.1,100,denglu01
10,Josh Smith,26,ATL,0.0,9.0,605,0.015,66,35.3,18.8,9.6,3.9,1.4,1.7,.458,.257,.630,6.8,.139,4.9,2.1,96,smithjo03
11,Joakim Noah,26,CHI,0.0,6.0,605,0.010,64,30.4,10.2,9.8,2.5,0.6,1.4,.508,.000,.748,9.0,.223,4.2,2.1,96,noahjo01
12T,Marc Gasol,27,MEM,0.0,5.0,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,.482,.083,.748,8.2,.166,4.0,2.1,99,gasolma01
12T,Chris Paul,26,LAC,0.0,5.0,605,0.008,60,36.4,19.8,3.6,9.1,2.5,0.1,.478,.371,.861,12.7,.278,2.3,2.4,104,paulch01
14T,Avery Bradley,21,BOS,0.0,2.0,605,0.003,64,21.4,7.6,1.8,1.4,0.7,0.2,.498,.407,.795,2.4,.085,1.9,0.7,102,bradlav01
14T,Mike Conley,24,MEM,0.0,2.0,605,0.003,62,35.1,12.7,2.5,6.5,2.2,0.2,.433,.377,.861,6.4,.141,2.8,1.4,102,conlemi01
14T,Grant Hill,39,PHO,0.0,2.0,605,0.003,49,28.1,10.2,3.5,2.2,0.8,0.6,.446,.264,.761,1.6,.055,0.9,0.5,107,hillgr01
14T,Iman Shumpert,21,NYK,0.0,2.0,605,0.003,59,28.9,9.5,3.2,2.8,1.7,0.1,.401,.306,.798,2.4,.068,2.5,1.6,101,shumpim01
18T,Greg Monroe,21,DET,0.0,1.0,605,0.002,66,31.5,15.4,9.7,2.3,1.3,0.7,.521,.000,.739,7.0,.161,2.7,0.1,102,monrogr01
18T,Dwyane Wade,30,MIA,0.0,1.0,605,0.002,49,33.2,22.1,4.8,4.6,1.7,1.3,.497,.268,.791,7.7,.227,2.9,1.9,99,wadedw01
18T,Russell Westbrook,23,OKC,0.0,1.0,605,0.002,66,35.3,23.6,4.6,5.5,1.7,0.3,.457,.316,.823,7.9,.163,2.4,-0.7,105,westbru01
1,Dwight Howard,25,ORL,114.0,585.0,600,0.975,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,7.7,2.4,94,howardw01
2,Kevin Garnett,34,BOS,1.0,77.0,600,0.128,71,31.3,14.9,8.9,2.4,1.3,0.8,.528,.200,.862,9.0,.194,5.6,2.9,95,garneke01
3,Tyson Chandler,28,DAL,0.0,70.0,600,0.117,74,27.8,10.1,9.4,0.4,0.5,1.1,.654,,.732,9.4,.218,3.5,1.0,102,chandty01
4,Tony Allen,29,MEM,0.0,53.0,600,0.088,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,.174,.753,4.7,.152,2.7,3.5,101,allento01
5,Rajon Rondo,24,BOS,0.0,45.0,600,0.075,68,37.2,10.6,4.4,11.2,2.3,0.2,.475,.233,.568,6.6,.126,4.8,1.4,100,rondora01
6,Andrew Bogut,26,MIL,0.0,32.0,600,0.053,65,35.3,12.8,11.1,2.0,0.7,2.6,.495,.000,.442,5.4,.112,5.1,2.4,97,bogutan01
7,Grant Hill,38,PHO,1.0,30.0,600,0.050,80,30.1,13.2,4.2,2.5,0.8,0.4,.484,.395,.829,4.4,.087,1.3,-0.3,111,hillgr01
8,Andre Iguodala,27,PHI,0.0,29.0,600,0.048,67,36.9,14.1,5.8,6.3,1.5,0.6,.445,.337,.693,6.7,.130,3.5,1.6,104,iguodan01
9,LeBron James,26,MIA,0.0,25.0,600,0.042,79,38.8,26.7,7.5,7.0,1.6,0.6,.510,.330,.759,15.6,.244,5.3,1.8,102,jamesle01
10,Luol Deng,25,CHI,0.0,24.0,600,0.040,82,39.1,17.4,5.8,2.8,1.0,0.6,.460,.345,.753,9.9,.149,5.2,0.6,102,denglu01
11,Kobe Bryant,32,LAL,0.0,18.0,600,0.030,82,33.9,25.3,5.1,4.7,1.2,0.1,.451,.323,.828,10.3,.178,3.5,-0.2,105,bryanko01
12T,Chuck Hayes,27,HOU,2.0,13.0,600,0.022,74,28.1,7.9,8.1,2.7,1.1,0.7,.527,.000,.662,6.3,.146,2.4,1.3,106,hayesch01
12T,Chris Paul,25,NOH,0.0,13.0,600,0.022,80,36.0,15.9,4.1,9.8,2.4,0.1,.463,.388,.878,13.9,.232,4.4,2.8,103,paulch01
14,Serge Ibaka,21,OKC,0.0,12.0,600,0.020,82,27.0,9.9,7.6,0.3,0.4,2.4,.543,.000,.750,7.6,.164,3.2,0.7,104,ibakase01
15,Joakim Noah,25,CHI,1.0,11.0,600,0.018,48,32.8,11.7,10.4,2.2,1.0,1.5,.525,.000,.739,6.7,.205,3.6,2.1,97,noahjo01
16,Dwyane Wade,29,MIA,0.0,8.0,600,0.013,76,37.1,25.5,6.4,4.6,1.5,1.1,.500,.306,.758,12.8,.218,4.7,1.1,102,wadedw01
17,Tim Duncan,34,SAS,0.0,7.0,600,0.012,76,28.4,13.4,8.9,2.7,0.7,1.9,.500,.000,.716,7.7,.171,4.0,2.2,100,duncati01
18,Metta World Peace,31,LAL,0.0,6.0,600,0.010,82,29.4,8.5,3.3,2.1,1.5,0.4,.397,.356,.676,4.4,.088,3.2,1.5,105,artesro01
19T,Keith Bogans,30,CHI,1.0,5.0,600,0.008,82,17.8,4.4,1.8,1.2,0.5,0.1,.404,.380,.656,3.6,.118,2.2,1.4,103,boganke01
19T,JaVale McGee,23,WAS,0.0,5.0,600,0.008,79,27.8,10.1,8.0,0.5,0.5,2.4,.550,.000,.583,5.3,.115,2.5,0.4,106,mcgeeja01
21,Thabo Sefolosha,26,OKC,0.0,4.0,600,0.007,79,25.9,5.1,4.4,1.4,1.2,0.5,.471,.275,.747,4.1,.097,2.5,1.9,106,sefolth01
